iter	Passed	Remaining
427	25668	34304
428	25735	34254
429	25791	34189
430	25858	34137
431	25923	34084
432	25986	34027
433	26047	33969
434	26101	33902
435	26166	33848
436	26228	33791
437	26289	33731
438	26354	33678
439	26415	33620
440	26476	33561
441	26550	33519
442	26614	33463
443	26667	33394
444	26723	33329
445	26779	33264
446	26835	33198
447	26897	33142
448	26960	33085
449	27022	33027
450	27083	32968
451	27145	32911
452	27202	32846
453	27261	32786
454	27321	32725
455	27375	32658
456	27438	32602
457	27501	32545
458	27570	32495
459	27633	32439
460	27697	32383
461	27760	32327
462	27819	32265
463	27884	32211
464	27947	32154
465	28014	32102
466	28077	32045
467	28134	31981
468	28191	31918
469	28252	31859
470	28306	31792
471	28370	31736
472	28427	31673
473	28488	31614
474	28539	31543
475	28610	31495
476	28677	31443
477	28749	31396
478	28815	31342
479	28877	31283
480	28945	31232
481	29010	31177
482	29074	31121
483	29134	31060
484	29192	30998
485	29257	30943
486	29315	30880
487	29386	30832
488	29452	30777
489	29518	30722
490	29576	30660
491	29642	30606
492	29703	30547
493	29762	30485
494	29831	30434
495	29892	30374
496	29950	30311
497	30001	30242
498	30063	30183
499	30144	30144
500	30210	30089
501	30273	30032
502	30327	29965
503	30394	29912
504	30456	29853
505	30509	29786
506	30572	29728
507	30638	29673
508	30693	29607
509	30744	29539
510	30806	29480
511	30873	29426
512	30933	29365
513	30986	29298
514	31046	29238
515	31115	29186
516	31178	29127
517	31234	29063
518	31285	28994
519	31344	28933
520	31402	28871
521	31459	28807
522	31517	28745
523	31581	28688
524	31641	28627
525	31697	28564
526	31758	28504
527	31814	28439
528	31876	28381
529	31932	28317
530	31983	28249
531	32039	28184
532	32096	28122
533	32147	28053
534	32207	27993
535	32262	27928
536	32337	27880
537	32389	27814
538	32449	27754
539	32513	27697
540	32579	27641
541	32639	27580
542	32697	27518
543	32757	27458
544	32816	27397
545	32876	27336
546	32932	27272
547	32988	27209
548	33047	27148
549	33106	27087
550	33167	27027
551	33220	26961
552	33277	26899
553	33341	26841
554	33397	26778
555	33451	26713
556	33511	26652
557	33573	26594
558	33649	26546
559	33707	26484
560	33772	26427
561	33832	26367
562	33902	26315
563	33970	26260
564	34026	26197
565	34083	26134
566	34142	26073
567	34214	26022
568	34275	25962
569	34339	25905
570	34402	25847
571	34461	25786
572	34526	25729
573	34592	25673
574	34660	25618
575	34719	25557
576	34779	25496
577	34844	25440
578	34909	25382
579	34970	25323
580	35031	25263
581	35089	25202
582	35147	25139
583	35198	25073
584	35252	25008
585	35313	24948
586	35374	24888
587	35428	24823
588	35491	24765
589	35546	24701
590	35605	24641
591	35656	24574
592	35715	24513
593	35805	24473
594	35878	24421
595	35932	24356
596	35992	24296
597	36056	24238
598	36132	24188
599	36191	24127
600	36250	24066
601	36313	24007
602	36367	23943
603	36433	23886
604	36497	23828
605	36563	23772
606	36623	23711
607	36685	23652
608	36762	23602
609	36820	23540
610	36875	23477
611	36941	23420
612	36999	23358
613	37055	23295
614	37111	23232
615	37168	23169
616	37224	23106
617	37297	23054
618	37358	22994
619	37414	22931
620	37465	22865
621	37516	22799
622	37573	22736
623	37632	22675
624	37699	22619
625	37750	22553
626	37821	22499
627	37877	22436
628	37933	22374
629	37992	22313
630	38047	22249
631	38105	22187
632	38161	22125
633	38232	22070
634	38285	22006
635	38341	21944
636	38402	21884
637	38466	21825
638	38526	21765
639	38587	21705
640	38648	21645
641	38718	21590
642	38767	21523
643	38830	21465
644	38892	21405
645	38952	21345
646	39004	21280
647	39065	21221
648	39122	21158
649	39187	21101
650	39238	21035
651	39297	20974
652	39365	20918
653	39432	20861
654	39490	20800
655	39547	20738
656	39605	20676
657	39672	20620
658	39741	20564
659	39797	20501
660	39851	20438
661	39912	20378
662	39975	20319
663	40023	20252
664	40089	20195
665	40149	20135
666	40212	20076
667	40268	20013
668	40329	19953
669	40388	19892
670	40441	19829
671	40498	19767
672	40555	19705
673	40617	19645
674	40665	19579
675	40725	19519
676	40774	19453
677	40835	19393
678	40890	19330
679	40945	19268
680	40989	19200
681	41037	19134
682	41096	19074
683	41142	19007
684	41186	18939
685	41234	18874
686	41286	18810
687	41343	18748
688	41388	18682
689	41436	18616
690	41485	18551
691	41545	18491
692	41603	18430
693	41671	18373
694	41716	18307
695	41773	18246
696	41832	18185
697	41882	18121
698	41930	18056
699	41980	17991
700	42028	17926
701	42080	17863
702	42136	17801
703	42191	17739
704	42246	17677
705	42297	17613
706	42352	17552
707	42409	17490
708	42465	17429
709	42514	17365
710	42563	17300
711	42608	17234
712	42666	17174
713	42729	17115
714	42787	17055
715	42850	16996
716	42908	16936
717	42964	16874
718	43019	16813
719	43085	16755
720	43135	16691
721	43201	16634
722	43257	16573
723	43321	16514
724	43373	16451
725	43423	16388
726	43478	16327
727	43533	16265
728	43588	16203
729	43644	16142
730	43714	16086
731	43773	16026
732	43831	15965
733	43891	15906
734	43942	15843
735	44004	15784
736	44058	15722
737	44126	15665
738	44180	15603
739	44234	15541
740	44297	15483
741	44356	15423
742	44410	15361
743	44468	15301
744	44527	15240
745	44576	15177
746	44626	15114
747	44675	15051
748	44725	14988
749	44784	14928
750	44842	14867
751	44894	14805
752	44942	14742
753	44991	14678
754	45041	14616
755	45091	14553
756	45142	14490
757	45200	14430
758	45248	14367
759	45302	14306
760	45351	14243
761	45404	14181
762	45458	14120
763	45506	14056
764	45560	13995
765	45606	13932
766	45655	13869
767	45705	13806
768	45755	13744
769	45811	13683
770	45854	13619
771	45907	13558
772	45953	13494
773	45996	13430
774	46047	13368
775	46100	13307
776	46152	13245
777	46195	13181
778	46249	13120
779	46308	13061
780	46382	13006
781	46440	12946
782	46496	12885
783	46544	12823
784	46596	12761
785	46652	12701
786	46707	12641
787	46757	12579
788	46804	12516
789	46857	12455
790	46922	12398
791	46976	12337
792	47033	12277
793	47082	12215
794	47137	12154
795	47188	12093
796	47236	12031
797	47287	11970
798	47338	11908
799	47393	11848
800	47444	11787
801	47497	11726
802	47551	11665
803	47601	11604
804	47654	11543
805	47711	11483
806	47761	11422
807	47810	11360
808	47853	11297
809	47906	11237
810	47956	11176
811	48002	11113
812	48055	11053
813	48109	10992
814	48155	10930
815	48209	10870
816	48251	10807
817	48299	10746
818	48348	10685
819	48397	10623
820	48445	10562
821	48500	10502
822	48543	10440
823	48593	10379
824	48643	10318
825	48696	10258
826	48749	10197
827	48800	10137
828	48850	10076
829	48900	10015
830	48951	9955
831	49002	9894
832	49055	9834
833	49108	9774
834	49161	9714
835	49200	9651
836	49250	9591
837	49304	9531
838	49355	9471
839	49408	9411
840	49460	9351
841	49513	9291
842	49558	9229
843	49604	9168
844	49655	9108
845	49705	9048
846	49754	8987
847	49814	8928
848	49874	8870
849	49922	8809
850	49978	8750
851	50022	8689
852	50068	8628
853	50133	8570
854	50180	8510
855	50230	8450
856	50282	8390
857	50334	8330
858	50389	8271
859	50441	8211
860	50494	8151
861	50546	8092
862	50598	8032
863	50651	7972
864	50711	7914
865	50762	7854
866	50815	7795
867	50879	7737
868	50940	7679
869	50991	7619
870	51043	7559
871	51095	7500
872	51145	7440
873	51194	7380
874	51245	7320
875	51299	7261
876	51351	7202
877	51407	7143
878	51458	7083
879	51513	7024
880	51567	6965
881	51620	6906
882	51670	6846
883	51721	6786
884	51779	6728
885	51832	6669
886	51882	6609
887	51933	6550
888	51983	6490
889	52041	6432
890	52094	6372
891	52157	6315
892	52214	6256
893	52264	6196
894	52322	6138
895	52368	6078
896	52419	6019
897	52482	5961
898	52541	5902
899	52601	5844
900	52659	5786
901	52722	5728
902	52788	5670
903	52843	5611
904	52898	5552
905	52950	5493
906	53021	5436
907	53080	5378
908	53145	5320
909	53204	5261
910	53264	5203
911	53314	5144
912	53389	5087
913	53450	5029
914	53498	4969
915	53549	4910
916	53600	4851
917	53646	4791
918	53697	4732
919	53743	4673
920	53795	4614
921	53843	4555
922	53898	4496
923	53949	4437
924	53998	4378
925	54048	4319
926	54099	4260
927	54145	4200
928	54190	4141
929	54233	4082
930	54286	4023
931	54346	3965
932	54401	3906
933	54460	3848
934	54514	3789
935	54575	3731
936	54633	3673
937	54687	3614
938	54743	3556
939	54802	3498
940	54860	3439
941	54914	3381
942	54967	3322
943	55021	3263
944	55075	3205
945	55130	3146
946	55182	3088
947	55240	3030
948	55295	2971
949	55350	2913
950	55402	2854
951	55456	2796
952	55510	2737
953	55565	2679
954	55619	2620
955	55684	2562
956	55738	2504
957	55793	2446
958	55843	2387
959	55898	2329
960	55952	2270
961	56005	2212
962	56056	2153
963	56111	2095
964	56164	2037
965	56217	1978
966	56271	1920
967	56324	1861
968	56376	1803
969	56429	1745
970	56480	1686
971	56535	1628
972	56588	1570
973	56643	1512
974	56695	1453
975	56748	1395
976	56801	1337
977	56858	1279
978	56911	1220
979	56963	1162
980	57015	1104
981	57068	1046
982	57119	987
983	57174	929
984	57228	871
985	57286	813
986	57339	755
987	57405	697
988	57457	639
989	57510	580
990	57567	522
991	57623	464
992	57684	406
993	57747	348
994	57803	290
995	57863	232
996	57917	174
997	57974	116
998	58029	58
999	58081	0
