,precision,recall,f1-score,support
AD,1.0,0.3157894736842105,0.4799999999999999,57.0
ASD,0.8080808080808081,0.5633802816901409,0.6639004149377594,142.0
Control,0.6209150326797386,0.7960893854748603,0.6976744186046512,358.0
PD,0.7393162393162394,0.6837944664031621,0.7104722792607804,253.0
accuracy,0.6864197530864198,0.6864197530864198,0.6864197530864198,0.6864197530864198
macro avg,0.7920780200191965,0.5897634018130935,0.6380117782007978,810.0
weighted avg,0.7173852654244811,0.6864197530864198,0.680433070906919,810.0
